Authors,Conceptualization,Methodology,Software,Validation,Formal Analysis,Investigation,Resources,Data curation,Writing - original draft,Writing - review & editing,Visualization,Supervision,Project administration,Funding acquisition
Gregory S. Macfarlane,1,1,1,0,1,0,0,0,1,0,0,1,0,0
Emily Blanchard,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Gillian Martin,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Jared Nielsen,0,0,0,0,0,0,1,0,0,1,0,1,1,1
